GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.library.demo.repository,MyUserDetails,67,0,2,0,19,0,13,0,12,0
demo,com.library.demo.dto,UsersDTO,233,57,52,0,0,8,30,15,4,15
demo,com.library.demo.dto,BooksDTO,163,38,34,0,0,6,21,11,4,11
demo,com.library.demo,DemoApplication,5,7,0,0,2,2,1,2,1,2
demo,com.library.demo.entity,Users,78,83,4,0,11,18,7,17,5,17
demo,com.library.demo.entity,Books,32,53,0,0,3,13,4,12,4,12
demo,com.library.demo.entity,IssuedBook,57,18,0,0,8,7,12,2,12,2
demo,com.library.demo.entity,Books.BooksBuilder,63,0,0,0,1,0,9,0,9,0
demo,com.library.demo.entity,Users.UsersBuilder,81,0,0,0,1,0,11,0,11,0
demo,com.library.demo.entity,Roles,21,15,0,0,3,6,4,4,4,4
demo,com.library.demo.entity,Roles.RolesBuilder,27,0,0,0,1,0,5,0,5,0
demo,com.library.demo.entity,IssuedBook.IssuedBookBuilder,54,0,0,0,1,0,8,0,8,0
demo,com.library.demo.service,BookServiceImpl,0,74,0,0,0,19,0,9,0,9
demo,com.library.demo.service,UserServiceImpl,0,84,0,0,0,21,0,10,0,10
demo,com.library.demo.service,RoleServiceImpl,0,32,0,0,0,8,0,5,0,5
demo,com.library.demo.service,UserDetailsServiceImpl,17,3,2,0,4,1,2,1,1,1
demo,com.library.demo.service,IssuedBookImpl,0,42,0,0,0,11,0,7,0,7
demo,com.library.demo.security,SecurityConfig,0,122,0,0,0,25,0,6,0,6
demo,com.library.demo.controller,DemoController,0,7,0,0,0,3,0,3,0,3
demo,com.library.demo.controller,BookController,31,190,5,3,7,46,4,10,0,10
demo,com.library.demo.controller,UserController,29,104,5,3,7,26,4,6,0,6
